%time,field.header.seq,field.header.stamp,field.header.frame_id,field.robot_pos.x,field.robot_pos.y,field.robot_pos.z,field.goal.x,field.goal.y,field.goal.z,field.dist_from_goal,field.collision.x,field.collision.y,field.collision.z,field.iteration
315473000000,141,315473000000,,6.2910101391,1.780403355,0,7.3299999237,1.75,0,1.0394347906,-100000,-100000,0,1
315573000000,142,315573000000,,6.3458955439,1.7842058433,0,7.3299999237,1.75,0,0.9846984148,-100000,-100000,0,1
315675000000,143,315675000000,,6.385835055,1.7867369388,0,7.3299999237,1.75,0,0.9448791742,-100000,-100000,0,1
315773000000,144,315773000000,,6.4457510201,1.7901489951,0,7.3299999237,1.75,0,0.8851597309,-100000,-100000,0,1
315873000000,145,315873000000,,6.5006503331,1.7931546601,0,7.3299999237,1.75,0,0.8304715157,-100000,-100000,0,1
315973000000,146,315973000000,,6.5455984698,1.7955389351,0,7.3299999237,1.75,0,0.7857221961,-100000,-100000,0,1
316073000000,147,316073000000,,6.5955668273,1.7979477862,0,7.3299999237,1.75,0,0.7359966636,-100000,-100000,0,1
316177000000,148,316177000000,,6.6355287778,1.7996981108,0,7.3299999237,1.75,0,0.6962473392,-100000,-100000,0,1
316273000000,149,316273000000,,6.7004436747,1.8024670787,0,7.3299999237,1.75,0,0.6317387223,-100000,-100000,0,1
316373000000,150,316373000000,,6.7503933827,1.8046795719,0,7.3299999237,1.75,0,0.5821800232,-100000,-100000,0,1
316473000000,151,316473000000,,6.7953091614,1.8065699774,0,7.3299999237,1.75,0,0.5376750231,-100000,-100000,0,1
316573000000,152,316573000000,,6.8392355338,1.8082804448,0,7.3299999237,1.75,0,0.4942130446,-100000,-100000,0,1
316673000000,153,316673000000,,6.8793065563,1.8097708999,0,7.3299999237,1.75,0,0.4546392858,-100000,-100000,0,1
316773000000,154,316773000000,,6.9143128068,1.811076452,0,7.3299999237,1.75,0,0.4201500714,-100000,-100000,0,1
316873000000,155,316873000000,,6.9521972581,1.8125038458,0,7.3299999237,1.75,0,0.3829382658,-100000,-100000,0,1
316974000000,156,316974000000,,6.9915688873,1.8140038896,0,7.3299999237,1.75,0,0.3444299102,-100000,-100000,0,1
317073000000,157,317073000000,,7.0186963215,1.8150330647,0,7.3299999237,1.75,0,0.3180239499,-100000,-100000,0,1
